clause_id,clause,reply,remark,answer,times_used
33,"Under Long Normal Power Supply Failure Duration: if the normal power supply period exceeds the rated duration of the battery, the inverter is to automatically shut down to protect the battery from over discharge. The system is to automatically reset itself upon normal power supply return.",,Proposed non-inverter AC/DC type Central Battery System for this project.,,2
33,"Under Long Normal Power Supply Failure Duration: if the normal power supply period exceeds the rated duration of the battery, the inverter is to automatically shut down to protect the battery from over discharge. The system is to automatically reset itself upon normal power supply return.",Yes,,Comply,1
34,"Rectifier/Charger Unit: is to be voltage regulated type, with inherent current limit, designed to compensate for mains input variations, battery cell ageing and temperature fluctuations. Unit is to have protective main line circuit breaker and to use silicon controlled rectifiers (thyristors) with control logic circuitry to control firing angles of thyristors to suit power output requirements and protect against power surges, lighting transients, under and over voltage conditions. Output is to be passed through LC filter. Unit is to be capable of supplying power to charge battery from discharge conditions to 95% charge within ten times discharge period and maintain full charge at floating voltage until next operation, and to have the following characteristics.",,Proposed non-inverter AC/DC type Central Battery System for this project.,,2
34,"Rectifier/Charger Unit: is to be voltage regulated type, with inherent current limit, designed to compensate for mains input variations, battery cell ageing and temperature fluctuations. Unit is to have protective main line circuit breaker and to use silicon controlled rectifiers (thyristors) with control logic circuitry to control firing angles of thyristors to suit power output requirements and protect against power surges, lighting transients, under and over voltage conditions. Output is to be passed through LC filter. Unit is to be capable of supplying power to charge battery from discharge conditions to 95% charge within ten times discharge period and maintain full charge at floating voltage until next operation, and to have the following characteristics.",Yes,80% charging in 12 hrs as per EN 56 171 standards.,Comply,1
35,"Nominal input voltage : 400V, 3 phase, 4 wire, 50HZ.",,"Proposed Cental Battery System has Input voltage of 230 VAC, Output voltage at mains operation of 230 VAC & Output voltage at battery operation of 216 VDC.",,2
35,"Nominal input voltage : 400V, 3 phase, 4 wire, 50HZ.",,Proposed system is complied with AC & DC,Comply,1
36,"Voltage input variation : + I 0%, -15 % from nominal.",,"Proposed Cental Battery System has Input voltage of 230 VAC, Output voltage at mains operation of 230 VAC & Output voltage at battery operation of 216 VDC.",,2
36,"Voltage input variation : + I 0%, -15 % from nominal.",,Proposed system is complied with AC & DC,Comply,1
37,Frequency : +/- 5% from nominal.,,"Proposed Cental Battery System has Input voltage of 230 VAC, Output voltage at mains operation of 230 VAC & Output voltage at battery operation of 216 VDC.",,2
37,Frequency : +/- 5% from nominal.,,Proposed system is complied with AC & DC,Comply,1
38,Power factor : 0.2 lagging at full load and nominal voltage.,,"Proposed Cental Battery System has Input voltage of 230 VAC, Output voltage at mains operation of 230 VAC & Output voltage at battery operation of 216 VDC.",,2
38,Power factor : 0.2 lagging at full load and nominal voltage.,,Proposed system is complied with AC & DC,Comply,1
39,Output voltage regulation : +/- I % max for 0-100% load.,,Proposed system is complied with AC & DC,Comply,1
40,Output ripple : +/- 2% rms (0 to I 00% resistive load),,"Proposed Cental Battery System has Input voltage of 230 VAC, Output voltage at mains operation of 230 VAC & Output voltage at battery operation of 216 VDC.",,2
40,Output ripple : +/- 2% rms (0 to I 00% resistive load),,Proposed system is complied with AC & DC,Comply,1
41,"Inverter: is to employ pulse width modulation design with high frequency switching technique with necessary output filters. The inverter output is to be sinusoidal with stable frequency and regulated amplitude in order to compensate the variations of the battery voltage and the load's consumption. The inverter is to automatically shut down when the input voltage drops below an unsafe value, to be recommended by the manufacturer, for protection of the electronic components, Inverter is to have the following characteristics:",Not Applicable,Since proposed non-invertor AC/DC type Central Battery system for this project.,Not applicable,2
41,"Inverter: is to employ pulse width modulation design with high frequency switching technique with necessary output filters. The inverter output is to be sinusoidal with stable frequency and regulated amplitude in order to compensate the variations of the battery voltage and the load's consumption. The inverter is to automatically shut down when the input voltage drops below an unsafe value, to be recommended by the manufacturer, for protection of the electronic components, Inverter is to have the following characteristics:",,Proposed system is complied with AC & DC,Comply,1
42,Nominal output voltage : 230V. I phase. 2 wire. 50HZ.(3 Branches at least),Not Applicable,Since proposed non-invertor AC/DC type Central Battery system for this project.,Not applicable,2
42,Nominal output voltage : 230V. I phase. 2 wire. 50HZ.(3 Branches at least),,Proposed system is complied with AC & DC,Comply,1
43,Load power factor : 0.7 lag to 0.9 lead.,Not Applicable,Since proposed non-invertor AC/DC type Central Battery system for this project.,Not applicable,2
43,Load power factor : 0.7 lag to 0.9 lead.,,Proposed system is complied with AC & DC,Comply,1
44,Output voltage regulation :,,Proposed system is complied with AC & DC,Comply,1
45,Balanced load : +/- 2% (0-100% load).,,Proposed system is complied with AC & DC,Comply,1
46,Unbalanced load : +/- 5% (0-100% load).,Not Applicable,Since proposed non-invertor AC/DC type Central Battery system for this project.,Not applicable,2
46,Unbalanced load : +/- 5% (0-100% load).,,Proposed system is complied with AC & DC,Comply,1
47,Output frequency stability : +/- 1% (0-100% load).,,Proposed system is complied with AC & DC,Comply,1
48,Output voltage waveform : 5% max total harmonic distortion,,Proposed system is complied with AC & DC,Comply,1
49,: 3% max Single harmonic distortion,,Proposed system is complied with AC & DC,Comply,1
50,Overload capacity : 125% for IO minute,,Proposed system is complied with AC & DC,Comply,1
51,1 50% for I minute,,Proposed system is complied with AC & DC,Comply,1
52,I 000% for 5 cycles,Not Applicable,Since proposed non-invertor AC/DC type Central Battery system for this project.,Not applicable,2
52,I 000% for 5 cycles,,Proposed system is complied with AC & DC,Comply,1
53,I 05% continues.,Not Applicable,Since proposed non-invertor AC/DC type Central Battery system for this project.,Not applicable,2
53,I 05% continues.,,Proposed system is complied with AC & DC,Comply,1
54,"Automatic change-over switch: static, solid state type, fully rated, suitable for type of load with necessary logic control circuit to perform the required automatic transfer scheme. Transfer time is not to exceed 2 ms.",Yes,,Comply,3
55,"Battery: high rate discharge, heavy duty, industrial, high impact resistant, Nickel-Cadmium ( Electrolyte -KOH)) type cells with automatically reclosing explosion proof safety vents. Ampere­ hour rating is to be sufficient for emergency period specified with all inverters operating at full rated output, to a discharge limit of not less than 1.4 V per cell. Cells are to be normally maintained at 1 .26 V per cell. Guaranteed life is not be less than 20 years, with a capacity drop down to not less than 80% under normal expected service. Batteries are to be enclosed in a separate cubicle, of same material and finish as per the equipment housing",,Proposed Central Battery System with Lead Acid batteries with lifetime of 10 year.,,2
55,"Battery: high rate discharge, heavy duty, industrial, high impact resistant, Nickel-Cadmium ( Electrolyte -KOH)) type cells with automatically reclosing explosion proof safety vents. Ampere­ hour rating is to be sufficient for emergency period specified with all inverters operating at full rated output, to a discharge limit of not less than 1.4 V per cell. Cells are to be normally maintained at 1 .26 V per cell. Guaranteed life is not be less than 20 years, with a capacity drop down to not less than 80% under normal expected service. Batteries are to be enclosed in a separate cubicle, of same material and finish as per the equipment housing",Yes,proposed Ropag batteries seal lead acid with 12 years life time.,Comply,1
56,"Battery Racks: batteries are to be placed in open ladder type battery rack for easy monitoring of electrolyte level with plastic insulating rails at points of contact with battery cases. Racks and cabinets are to be painted with electrolyte resistant paint. Batteries shall be placed in separate I dedicated room complete with ventilation. air-conditioning system, firefighting system. eye wash, etc. as recommended by manufacturer. Hydrogen gas detector shall be installed to monitor the level of hydrogen gases in the room which shall be interfaced with extract fans and SCADA. Cables are to be rubber insulated electrolyte resistant type. Equipped with battery temperature sensor/probe to optimize battery charging and monitoring","Yes,",Batteries will be located inside tne panel.,Comply,1
57,"Housing: equipment is to be housed in a free-standing cubicles, well ventilated totally enclosed modular assembly with front accessible lockable doors, giving easy access for maintenance, inspection and adjustments, and with provisions for handling and li ft ing during and after installation. Enclosures are to be suitable for industrial, tropical environments, protection IP 20 to IEC 6 0144 , of galvanized sheet steel construction treated against corrosion and with light grey RA L7032 baked paint or epoxy finish to approved standard.","Yes,",RAL7035 IP20.,Comply,1
58,"System components are to have built-in or inherent electronic current-limiting protection against permanent self damage effective down to short-circuits. Fast acting, current limiting devices are to protect against failure of any solid state component. Internal failure in any component is to cause immediate isolation from input and output by operation of static interrupters or causing shut down of faulty module. Protection is to be provided against. but is not limited to, the following:",,Since Inverter & rectifier not applicable,Not applicable,2
58,"System components are to have built-in or inherent electronic current-limiting protection against permanent self damage effective down to short-circuits. Fast acting, current limiting devices are to protect against failure of any solid state component. Internal failure in any component is to cause immediate isolation from input and output by operation of static interrupters or causing shut down of faulty module. Protection is to be provided against. but is not limited to, the following:",Yes,,Comply,1
59,Input over and under voltage and power line surges,,Since Invertor & rectifier not applicable,Not applicable,2
59,Input over and under voltage and power line surges,Yes,,Comply,1
60,Output over voltage and voltage surges,,Since Inverter & rectifier not applicable,Not applicable,2
60,Output over voltage and voltage surges,Yes,,Comply,1
61,Sudden abnormal changes in output load conditions,,Since Inverter & rectifier not applicable,Not applicable,2
61,Sudden abnormal changes in output load conditions,Yes,,Comply,1
62,Short-circuits at output terminals,,Since Invertor & rectifier not applicable,Not applicable,2
62,Short-circuits at output terminals,Yes,,Comply,1
63,Inverter and rectifier overcurrent,,Since Inverter & rectifier not applicable,Not applicable,2
63,Inverter and rectifier overcurrent,Yes,,Comply,1
64,Auxiliary control circuit overcurrent,,Since Inverter & rectifier not applicable,Not applicable,2
64,Auxiliary control circuit overcurrent,Yes,,Comply,1
65,Provide the following instrumentation to IEC 51. scale length 72 rnrn:,Yes,,Comply,1
66,System output voltmeter with 7 position selector switch. class index 1 .5,,Possible through LCD display of control module along with push buttons.,,2
66,System output voltmeter with 7 position selector switch. class index 1 .5,Yes,,Comply,1
67,"System output arnrneter with 4 - position selector switch, class index 2.5",Yes,,Comply,1
68,Battery charge; discharge ammeter,,Possible through LCD display of control module along with push buttons.,,2
68,Battery charge; discharge ammeter,Yes,,Comply,1
69,Provide indicating lamps for the following:,Yes,,Comply,1
70,"White lamps for ""normal power supply available and supplying the load"" status",,Inverter not applicable for this project.,Not applicable,2
70,"White lamps for ""normal power supply available and supplying the load"" status",Yes,,Comply,1
71,"Green lamps for ""charger on"" and ""charger healthy"" status",,Inverter not applicable for this project.,Not applicable,2
71,"Green lamps for ""charger on"" and ""charger healthy"" status",Yes,,Comply,1
72,"Amber lamp for ""charger failure' status",,Inverter not applicable for this project.,Not applicable,2
72,"Amber lamp for ""charger failure' status",Yes,,Comply,1
73,"Red lamps for ""inverter failure"" and ""inverter shut down"" status",,Inverter not applicable for this project.,Not applicable,2
73,"Red lamps for ""inverter failure"" and ""inverter shut down"" status",Yes,,Comply,1
74,"Blue lamp for ""inverter supplying load"" status",,Inverter not applicable for this project.,Not applicable,2
74,"Blue lamp for ""inverter supplying load"" status",Yes,,Comply,1
75,Provide alarms for the following:,Yes,,Comply,1
76,Charger failure,,Proposed non-inverter type Central battery system.,,2
76,Charger failure,Yes,,Comply,1
77,Inverter failure,,Proposed non-inverter type Central battery system.,,2
77,Inverter failure,Yes,,Comply,1
78,Inverter shutdown (battery out of limits),,Proposed non-inverter type Central battery system.,,2
78,Inverter shutdown (battery out of limits),Yes,,Comply,1
79,Normal power supply failure,,Proposed non-inverter type Central battery system.,,2
79,Normal power supply failure,Yes,,Comply,1
80,Phase failure,,Proposed non-inverter type Central battery system.,,2
80,Phase failure,Yes,,Comply,1
81,"Programmable Monitoring and Alarm Unit: the above instruments, indicators, and alarms may be combined in a micro-processor based monitoring and alarm unit if applicable, subject to the Engineer's approval.",Yes,,Comply,1
82,"Remote Monitoring and Alarm System: make available all required points stated in the SCADA/PLC schedules for remote monitoring from the SCADA/PLC system (SCADA/PLC). Coordinate with the SCADA/PLC supplier and provide all necessary interface instruments, transducers, devices, dry contacts, etc.",Yes,,Comply,1
83,"Install system components on 4-inch-high ( I 00-rnm-high) concrete housekeeping bases. Cast-in­ place concrete. reinforcing, and formwork are specified in Division 3. Install systems according to manufacturer's printed instructions.",,"Installation by ADC, Supervision by Al Arabia",,1
84,"Maintain minimum working space at equipment according to manufacturers shop drawings,",Yes,,Comply,1
85,Connections: interconnect system components. Make connections to supply and load circuits according to manufacturer's writing diagrams and as indicated.,,Installation by M/s. ADC Energy system under M/s. Al Arabia guidance.,,2
85,Connections: interconnect system components. Make connections to supply and load circuits according to manufacturer's writing diagrams and as indicated.,Yes,,Comply,1
86,Manufacturers Field Service: arrange and pc!) for the services of a factory-authorized service representative to supervise the installation. connection. tests. and adjusunent of the unit.,Yes,,Comply,1
87,"Identify components according 10 DIVISION 26 Section ""Identification of Electrical Systems""",Yes,,Comply,1
88,Identify each battery cell individually.,,Proposed Central battery system monitors the batteries as a battery block combinations. (18 no's of 12 volt battery).,,2
88,Identify each battery cell individually.,Yes,,Comply,1
88,Identify each battery cell individually.,Comply,By M/s. Al Shafar,Comply,1
88,Identify each battery cell individually.,Comply.,,Comply,1
89,"Supervised Adjustment and Pretesting: under supervision of factory-authorized service representative, pre lest system functions, operations. and protective features. Adjust to ensure operation complies with specifications. Load the system using a variable load bank s imulatin g KV A, KW, and power factor of loads for which unit is rated.",Yes,,Comply,1
90,"Tests: provide the services of a qualified testing agency to perform the tests listed below according to manufacturer's recommendations upon completion of installation of system. Load the system using a variable load bank s imulating K VA, KW, and power factor or load for which unit is rated. Use instruments that have been recently calibrated according to approved standards.",Yes,,Comply,1
91,Simulation of malfunction to verify protective device ope rat ion.,Yes,,Comply,1
92,"Tests of duration of supply on emergency, demonstrations of low-battery voltage shutdown, and transfers due to normal source failure and restoration.",Yes,,Comply,3
93,"Tests of harmonic content of input and output current under 25 percent, and I 00 percent of rated load.",Yes,,Comply,3
94,Tests of voltage output under specified transient-load condition,Yes,,Comply,3
95,"Tests of efficiency at 50-percent, and I 00-percent rated load.",Yes,,Comply,1
96,Functional Tests of Remote Status and Alarm Panel.,Yes,,Comply,3
97,Functional Tests of Battery-Monitoring System.,Yes,,Comply,3
98,Retest: correct deficiencies and retest until specified requirements are met.,Yes,,Comply,3
99,"Upon completion of installation. inspect system components. Remove paint splatters and other spots, dirt, and debris. Repair scratches and mars of fin is h to match original finish. Clean components internally using methods and materials recommended by manufacturer.",Yes,,Comply,1
100,"Training: arrange and pay for the services of a factory-authorized service representative 10 demonstrate adjustment, operation, and rnaintenance of the system and to train Owner's personnel.",Yes,,Comply,1
101,Conduct a m inimu m of 8 hours of training as specified under Instructions to Owner's Employees in the Project Closeout Section of these Specifications.,Yes,,Comply,1
102,"Schedule training with at least a 7-day advance notification,",Yes,,Comply,3
103,Battery Equalization: equalize charging of battery cells according to manufacturer's instructions.Record individual cell voltages.,Yes,,Comply,3
104,CENTRAL BATTERY SYSTEM 2018 JANUARY - REV.B,,CENTRAL BATTERY SYSTEM 2018 JANUARY - REV.B CENTRAL BATTERY SYSTEM 2018 JANUARY - REV.B,,2
105,"Drawings and general provisions of the Contract, including General and Supplementary Conditions and Division I Specification Sections, apply to this Section",Comply,,Comply,8
105,"Drawings and general provisions of the Contract, including General and Supplementary Conditions and Division I Specification Sections, apply to this Section",Yes,,Comply,6
105,"Drawings and general provisions of the Contract, including General and Supplementary Conditions and Division I Specification Sections, apply to this Section",Noted,,Noted,4
105,"Drawings and general provisions of the Contract, including General and Supplementary Conditions and Division I Specification Sections, apply to this Section",Noted.,,Noted,1
106,Requirements of the following sections apply to this section:,,Cabling and Containment by M/s.ADC Energy Systems under M/s.Al Arabia guidance.,,6
106,Requirements of the following sections apply to this section:,YES,,Comply,3
107,"""Basic Electrical Requirements",,Cabling and Containment by M/s.ADC Energy Systems under M/s.Al Arabia guidance.,,6
107,"""Basic Electrical Requirements",YES,,Comply,3
108,""" Raceway and Boxes for Electrical Systems""",,Cabling and Containment by M/s.ADC Energy Systems under M/s.Al Arabia guidance.,,6
108,""" Raceway and Boxes for Electrical Systems""",YES,,Comply,3
109,"""Cable Trays"".",,Cabling and Containment by M/s.ADC Energy Systems under M/s.Al Arabia guidance.,,6
109,"""Cable Trays"".",YES,,Comply,3
110,"""Grounding and Bonding for Electrical systems"".",,Cabling and Containment by M/s.ADC Energy Systems under M/s.Al Arabia guidance.,,6
110,"""Grounding and Bonding for Electrical systems"".",YES,,Comply,3
111,"Fire alarm system with cabinets, power supply, repeater panels, personal computer, graphic displays, software, detection/monitoring/control devices, voice evacuation equipment, fire fighters telephone system, wiring and ancillary equipment.",Yes,Wiring by M/s.ADC energy systems under M/s.Al Arabia guidance.,Comply,4
111,"Fire alarm system with cabinets, power supply, repeater panels, personal computer, graphic displays, software, detection/monitoring/control devices, voice evacuation equipment, fire fighters telephone system, wiring and ancillary equipment.",,Graphics & Voice Evacuation are not applicable in this project and Wiring by M/s.ADC energy systems under M/s.Al Arabia guidance.,Not applicable,2
111,"Fire alarm system with cabinets, power supply, repeater panels, personal computer, graphic displays, software, detection/monitoring/control devices, voice evacuation equipment, fire fighters telephone system, wiring and ancillary equipment.",YES,,Comply,1
112,Supervising sprinkler system water flow switches and tamper switches via monitor modules.,Yes,,Comply,6
113,Connection to air handling units and fans.,Yes,,Comply,6
113,Connection to air handling units and fans.,YES. Installation by MEP contractor under the supervision & guidance of M/s. Al Arabia,,Comply,2
113,Connection to air handling units and fans.,YES. Installation by M/s. Kahrafi National under the supervision & guidance of M/s. Al Arabia.,,Comply,1
114,Interfacing and connection to fire fighting control panels and security system.,Yes,,Comply,6
114,Interfacing and connection to fire fighting control panels and security system.,YES. Installation by MEP contractor under the supervision & guidance of M/s. Al Arabia,,Comply,2
114,Interfacing and connection to fire fighting control panels and security system.,YES. Installation by M/s. Kahrafi National under the supervision & guidance of M/s. Al Arabia.,,Comply,1
115,"Interfacing, installation and connection of 24/7 panel (Direct Alarm System) as per civil defense requirement & regulation.",Yes,"Interfacing by sending the required signals through VFC , installation and connection by ADC.",Comply,3
116,"System/work is deemed to include all items of work needed for the project. Minor items, which do not appear in the specifications and which are necessary for normal operation of the system, are implied as ancillary equipment and are deemed to have been included.",Yes,,Comply,6
116,"System/work is deemed to include all items of work needed for the project. Minor items, which do not appear in the specifications and which are necessary for normal operation of the system, are implied as ancillary equipment and are deemed to have been included.",YES. Installation by MEP contractor under the supervision & guidance of M/s. Al Arabia,,Comply,2
116,"System/work is deemed to include all items of work needed for the project. Minor items, which do not appear in the specifications and which are necessary for normal operation of the system, are implied as ancillary equipment and are deemed to have been included.",YES. Installation by M/s. Kahrafi National under the supervision & guidance of M/s. Al Arabia.,,Comply,1
117,FACP: main fire alarm cabinet.,Yes,,Comply,6
117,FACP: main fire alarm cabinet.,YES,,Comply,3
118,FARP: fire alarm repeater panel.,Yes,,Comply,6
118,FARP: fire alarm repeater panel.,YES,,Comply,3
118,FARP: fire alarm repeater panel.,Comply,,Comply,2
118,FARP: fire alarm repeater panel.,NOTED,,Noted,1
118,FARP: fire alarm repeater panel.,COMPLY,,Comply,1
119,FACPs: for FACP and FARP.,Yes,,Comply,6
119,FACPs: for FACP and FARP.,YES,,Comply,3
120,LED: light-emitting diode.,Noted,,Noted,71
120,LED: light-emitting diode.,Comply,,Comply,12
120,LED: light-emitting diode.,Yes,,Comply,6
120,LED: light-emitting diode.,Noted.,,Noted,5
120,LED: light-emitting diode.,Yes.,,Comply,5
120,LED: light-emitting diode.,YES,,Comply,3
120,LED: light-emitting diode.,Comply.,,Comply,1
120,LED: light-emitting diode.,Comply as applicable.,,Comply,1
120,LED: light-emitting diode.,NOTED,,Noted,1
120,LED: light-emitting diode.,COMPLY,,Comply,1
121,Definitions in NFPA 72 and 101 apply to fire alarm terms used in this Section.,Yes,,Comply,6
121,Definitions in NFPA 72 and 101 apply to fire alarm terms used in this Section.,YES,,Comply,3
122,"General: non coded, analog addressable system with manual and automatic alarm initiation; automatic sensitivity control of smoke detectors; and multiplexed signal transmission dedicated to fire alarm service only.",Yes,,Comply,6
123,"Fire alarm control panel, manual stations, detectors, inter-face modules and ancillary equipment.",Yes,,Comply,6
123,"Fire alarm control panel, manual stations, detectors, inter-face modules and ancillary equipment.",YES,,Comply,3
124,Voice evacuation equipment,Yes,,Comply,5
124,Voice evacuation equipment,YES,,Comply,3
124,Voice evacuation equipment,Not Applicable.,,Not applicable,1
125,Cabling and wire ways,,Installation by M/s. ADC Energy System under M/s. Al Arabia guidance,,6
125,Cabling and wire ways,YES,,Comply,3
126,All interfaces and ancillary equipment.,Yes,,Comply,6
126,All interfaces and ancillary equipment.,YES,,Comply,3
127,Product Data: for each type of product indicated.,Comply,,Comply,28
127,Product Data: for each type of product indicated.,Yes,,Comply,6
127,Product Data: for each type of product indicated.,COMPLY,,Comply,2
127,Product Data: for each type of product indicated.,Noted,,Noted,2
127,Product Data: for each type of product indicated.,Comply,Installation by M/s. United Masters under the supervision of M/s. Al Arabia,Comply,2
127,Product Data: for each type of product indicated.,Noted.,,Noted,1
128,"., Not Applicable"" where the case is. It should be noted that other comments like ""noted"" or ""partial compliance"" are unacceptable and will be interpreted as a non compliance.",Yes,,Comply,6
129,Shop Drawings: show details of graphic annunciator.,Yes,,Comply,4
129,Shop Drawings: show details of graphic annunciator.,,Graphic Annunciator not applicable.,Not applicable,2
130,Wiring Diagrams: detail wiring. Include diagrams for equipment and for system with all terminals and interconnections identified.,Yes,By M/s. ADC Energy Systems Under M/s. Al Arabia guidance,Comply,6
130,Wiring Diagrams: detail wiring. Include diagrams for equipment and for system with all terminals and interconnections identified.,YES,,Comply,3
131,Battery: sizing calculations.,Yes,,Comply,6
131,Battery: sizing calculations.,Comply,,Comply,5
131,Battery: sizing calculations.,Comply,"Will be provided after detailed engineering, establishing the quantity and wattage of speakers, etc.",Comply,4
131,Battery: sizing calculations.,YES,,Comply,3
131,Battery: sizing calculations.,COMPLY,,Comply,2
131,Battery: sizing calculations.,Comply will be submitted in the shop drawing,,Comply,1
